timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu, power.draw [W]
2025/03/09 23:29:43.298, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.92
2025/03/09 23:29:43.299, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.53
2025/03/09 23:29:43.300, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.80
2025/03/09 23:29:43.301, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.50
2025/03/09 23:29:43.302, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.55
2025/03/09 23:29:43.303, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.15
2025/03/09 23:29:43.304, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.17
2025/03/09 23:29:43.305, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.60
2025/03/09 23:29:44.306, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.93
2025/03/09 23:29:44.307, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.51
2025/03/09 23:29:44.308, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.98
2025/03/09 23:29:44.309, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.56
2025/03/09 23:29:44.310, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.54
2025/03/09 23:29:44.311, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.19
2025/03/09 23:29:44.312, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.26
2025/03/09 23:29:44.313, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.66
2025/03/09 23:29:45.314, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.90
2025/03/09 23:29:45.315, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.51
2025/03/09 23:29:45.316, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.13
2025/03/09 23:29:45.317, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.53
2025/03/09 23:29:45.318, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.50
2025/03/09 23:29:45.319, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.26
2025/03/09 23:29:45.320, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.22
2025/03/09 23:29:45.321, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.69
2025/03/09 23:29:46.322, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.85
2025/03/09 23:29:46.323, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.48
2025/03/09 23:29:46.324, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.02
2025/03/09 23:29:46.325, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.45
2025/03/09 23:29:46.326, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.50
2025/03/09 23:29:46.327, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.15
2025/03/09 23:29:46.328, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.10
2025/03/09 23:29:46.329, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.70
2025/03/09 23:29:47.330, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.86
2025/03/09 23:29:47.332, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.42
2025/03/09 23:29:47.333, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 4.96
2025/03/09 23:29:47.334, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.47
2025/03/09 23:29:47.335, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.56
2025/03/09 23:29:47.336, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 9.94
2025/03/09 23:29:47.337, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.14
2025/03/09 23:29:47.338, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.78
2025/03/09 23:29:48.339, 0, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 6.84
2025/03/09 23:29:48.340, 1, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.45
2025/03/09 23:29:48.341, 2, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 5.07
2025/03/09 23:29:48.342, 3, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 25, 7.42
2025/03/09 23:29:48.343, 4, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 27, 14.54
2025/03/09 23:29:48.344, 5, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 10.02
2025/03/09 23:29:48.345, 6, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.14
2025/03/09 23:29:48.346, 7, NVIDIA RTX 6000 Ada Generation, 0, 0, 49140, 3, 26, 12.74
